time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448500000	20.1148	14.2464	4.787	1.79638	0.544264	lidar	0.532788	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.045	14.472	4.77893	1.82811	0.548431	radar	1.40536	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9281	14.7446	4.9125	1.87499	0.568928	lidar	1.39555	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8609	14.9603	4.90574	1.89459	0.553549	radar	3.27974	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8342	15.1698	4.81321	1.90317	0.534031	lidar	2.02356	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7197	15.3587	4.55753	1.96648	0.596629	radar	7.98282	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6978	15.5318	4.4123	1.97356	0.573149	lidar	2.70991	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6157	15.7216	4.39052	1.99838	0.56684	radar	1.14233	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5002	15.9522	4.48834	2.03199	0.572813	lidar	0.283378	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4016	16.1558	4.54102	2.05074	0.553732	radar	1.73728	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2897	16.337	4.50163	2.0816	0.55653	lidar	0.370223	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1793	16.5253	4.4774	2.11058	0.55908	radar	0.203915	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0324	16.7588	4.61289	2.1433	0.564645	lidar	0.514604	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8801	16.9483	4.56924	2.19834	0.612706	radar	7.00581	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
