time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010455450000	-3.11452	6.03706	4.85001	4.44216	0.126979	radar	4.40393	-3.50172	6.10796	-3.14709	5.87592	-1.71297	-4.90976
1477010455550000	-3.30973	5.52339	4.80367	4.4172	0.0769071	radar	2.61168	-3.19736	5.19093	-3.31843	5.38496	-1.71458	-4.90893
1477010455650000	-3.44767	5.03816	4.92395	4.43113	0.0877618	radar	0.342581	-3.4281	4.94644	-3.49026	4.89422	-1.72281	-4.90525
1477010455750000	-3.66427	4.50289	4.93543	4.39407	0.0239358	radar	3.52584	-3.50501	4.17643	-3.66325	4.40398	-1.73763	-4.89868
1477010455850000	-3.86217	4.0119	5.0966	4.38765	0.0211594	radar	0.924751	-4.06447	4.10977	-3.83806	3.91452	-1.75899	-4.88918
1477010455950000	-4.05501	3.5982	4.88839	4.36377	-0.0189808	radar	2.82689	-4.23729	3.88878	-4.01533	3.42616	-1.78686	-4.87666
1477010456050000	-4.30439	3.04394	5.19336	4.32999	-0.063001	radar	1.91774	-4.27467	2.88187	-4.19571	2.93919	-1.82113	-4.86104
1477010456150000	-4.48875	2.52455	5.27863	4.3349	-0.045354	radar	0.653256	-4.38481	2.39989	-4.37985	2.45393	-1.86173	-4.84218
1477010456250000	-4.69315	2.02315	5.33128	4.30506	-0.100552	radar	3.94912	-4.29257	1.92854	-4.56836	1.97072	-1.90853	-4.81994
1477010456350000	-4.94358	1.47874	5.57354	4.28626	-0.115443	radar	0.576534	-4.98165	1.43611	-4.76186	1.48989	-1.9614	-4.79417
1477010456450000	-5.12892	1.05285	5.22585	4.27942	-0.107239	radar	1.27189	-4.98594	1.10894	-4.96095	1.01182	-2.02019	-4.76468
1477010456550000	-5.3055	0.427304	5.55732	4.30511	-0.0617015	radar	6.17738	-4.84736	0.18101	-5.16621	0.536876	-2.08471	-4.73127
1477010456650000	-5.53596	-0.0236871	5.21133	4.30417	-0.036023	radar	5.22075	-5.99809	-0.290765	-5.3782	0.0654719	-2.15477	-4.69374
1477010456750000	-5.75773	-0.34785	4.93339	4.25934	-0.0954134	radar	2.55374	-5.64447	-0.144522	-5.59748	-0.401971	-2.23014	-4.65185
1477010456850000	-5.94251	-0.831337	5.26989	4.24841	-0.114589	radar	6.72813	-5.30947	-0.724468	-5.82456	-0.865006	-2.31058	-4.60536
1477010456950000	-6.10579	-1.40845	5.37909	4.27882	-0.0638967	radar	4.11623	-5.68069	-1.52871	-6.05993	-1.32316	-2.39581	-4.55404
1477010457050000	-6.34816	-1.89993	5.71262	4.25513	-0.0975942	radar	2.94329	-6.11355	-1.75966	-6.30406	-1.77593	-2.48555	-4.49762
1477010457150000	-6.6529	-2.30403	5.39921	4.21313	-0.131434	radar	3.10222	-6.99344	-2.17445	-6.55738	-2.22281	-2.57946	-4.43585
1477010457250000	-6.95182	-2.73591	5.37847	4.18073	-0.15418	radar	0.750388	-7.14408	-2.67584	-6.82029	-2.66323	-2.6772	-4.36847
1477010457350000	-7.20331	-3.19707	5.24058	4.17352	-0.142592	radar	0.352498	-7.13937	-3.22028	-7.09316	-3.09663	-2.7784	-4.29523
1477010457450000	-7.48059	-3.72603	5.3335	4.18264	-0.112092	radar	2.95438	-7.77186	-4.08999	-7.37632	-3.5224	-2.88265	-4.21586
1477010457550000	-7.74798	-4.13338	5.31486	4.15592	-0.132414	radar	1.53287	-7.52393	-3.88213	-7.67004	-3.93992	-2.98953	-4.13012
1477010457650000	-8.03623	-4.57493	5.28311	4.14	-0.134834	radar	0.0395051	-8.08524	-4.57834	-7.97457	-4.34854	-3.09857	-4.03778
1477010457750000	-8.3283	-4.97217	4.98934	4.11855	-0.139882	radar	1.09833	-8.453	-4.95621	-8.2901	-4.74759	-3.2093	-3.93862
1477010457850000	-8.64263	-5.24948	4.78075	4.06154	-0.186133	radar	3.15999	-8.55062	-4.79248	-8.61678	-5.13637	-3.32121	-3.83242
1477010457950000	-8.9518	-5.64289	4.91321	4.04225	-0.187261	radar	0.299832	-9.04115	-5.69364	-8.95469	-5.51417	-3.43377	-3.71901
1477010458050000	-9.2431	-5.91721	4.71399	3.99837	-0.214019	radar	4.9743	-8.86897	-5.41973	-9.30388	-5.88026	-3.54643	-3.59823
1477010458150000	-9.58616	-6.28832	4.83928	3.97433	-0.216427	radar	0.906146	-9.80646	-6.41174	-9.66432	-6.23389	-3.6586	-3.46994
1477010458250000	-10.0539	-6.55518	5.05029	3.89578	-0.272393	radar	5.14856	-10.6688	-6.35543	-10.0359	-6.57431	-3.76969	-3.33404
